epoch,train_loss,valid_loss
1,0.9369160085916519,0.9254170656204224
2,0.9201151430606842,0.9004338979721069
3,0.8981712311506271,0.8877242207527161
4,0.8805245757102966,0.8736605644226074
5,0.8645977526903152,0.8519279360771179
6,0.8521447479724884,0.837081253528595
7,0.8391115218400955,0.825716495513916
8,0.823839858174324,0.8134512901306152
9,0.8113120496273041,0.8054844737052917
10,0.8006730079650879,0.7914894223213196
11,0.7879656255245209,0.775490403175354
12,0.7769164890050888,0.7719662189483643
13,0.7673635184764862,0.7583721876144409
14,0.7569148242473602,0.7480552196502686
15,0.7451378852128983,0.7377158999443054
16,0.7385037541389465,0.7285782694816589
17,0.7281899154186249,0.7253036499023438
18,0.719363659620285,0.7161709070205688
19,0.713752955198288,0.7050590515136719
20,0.7048560827970505,0.695907711982727
21,0.6968447715044022,0.6910821199417114
22,0.6896496713161469,0.6862040758132935
23,0.6834655404090881,0.6789424419403076
24,0.6777921169996262,0.6743990182876587
25,0.6720746010541916,0.6654923558235168
26,0.6663768738508224,0.6591814756393433
27,0.659956768155098,0.6567088961601257
28,0.6545328199863434,0.648234486579895
29,0.649604320526123,0.6444685459136963
30,0.6421595364809036,0.6371414661407471
31,0.6372579783201218,0.6315795183181763
32,0.6326064169406891,0.6284350752830505
33,0.630015566945076,0.6261494755744934
34,0.6246979534626007,0.6214011311531067
35,0.6220591366291046,0.617183268070221
36,0.618800699710846,0.6147922277450562
37,0.6156501024961472,0.6133635640144348
38,0.611981213092804,0.6109044551849365
39,0.6095466017723083,0.6052166223526001
40,0.6072028875350952,0.6047054529190063
41,0.603669747710228,0.6007766723632812
42,0.6018254905939102,0.5982217192649841
43,0.599394902586937,0.5976961851119995
44,0.5969894677400589,0.5934616327285767
45,0.5941898226737976,0.594483494758606
46,0.5929916799068451,0.5893028974533081
47,0.5909925699234009,0.5890859365463257
48,0.5877942591905594,0.5856024026870728
49,0.5865464508533478,0.5827804803848267
50,0.5847681164741516,0.5824252963066101
51,0.5829518586397171,0.5798322558403015
52,0.5795872062444687,0.5786682367324829
53,0.5784943699836731,0.5752980709075928
54,0.5759569257497787,0.5747793912887573
55,0.5743454694747925,0.5715695023536682
56,0.5729445517063141,0.5702996850013733
57,0.5714309811592102,0.5685648918151855
58,0.5695427656173706,0.5675197243690491
59,0.5669969767332077,0.565014660358429
60,0.5650824010372162,0.5634922981262207
61,0.5633023679256439,0.5615502595901489
62,0.5615825653076172,0.5601499676704407
63,0.5597569197416306,0.557801365852356
64,0.558069258928299,0.5572864413261414
65,0.5564687252044678,0.5543605089187622
66,0.5551317185163498,0.5528119206428528
67,0.5535854399204254,0.5495966076850891
68,0.5525576025247574,0.5503305196762085
69,0.550242155790329,0.5478813648223877
70,0.5478765815496445,0.5462974905967712
