mean,final
0.9193543791770935,0.9193543791770935
0.9151479452848434,0.9151479452848434
0.9151054918766022,0.9151054918766022
0.9152273535728455,0.9152273535728455
0.9152797162532806,0.9154698848724365
0.9124526977539062,0.9083252102136612
0.9118658602237701,0.9035500288009644
0.9131115823984146,0.901680514216423
0.9145528078079224,0.9016468077898026
0.8999353796243668,0.8714898228645325
0.8893468827009201,0.8471645265817642
0.8786131292581558,0.8193394392728806
0.8485424369573593,0.7581187784671783
0.8422118723392487,0.7448162883520126
0.8372300416231155,0.7318559437990189
0.8078987002372742,0.6811915338039398
0.8059970438480377,0.6785755902528763
0.8034326732158661,0.6755643784999847
0.775941863656044,0.6297721862792969
0.7691330909729004,0.6176038980484009
0.746696874499321,0.5809820741415024
0.7436411529779434,0.5773836225271225
0.7202469408512115,0.5374352186918259
0.7166154384613037,0.5327043831348419
0.7190428525209427,0.5380818247795105
0.6948014050722122,0.5003805160522461
0.703965812921524,0.5152039751410484
0.6735450327396393,0.47016721218824387
0.675806388258934,0.4709528386592865
0.6527501046657562,0.4414948970079422
0.6490302234888077,0.4366351217031479
0.6319290548563004,0.4128164052963257
0.6343359798192978,0.41262590885162354
0.618981271982193,0.39606910198926926
0.6061728894710541,0.3766755536198616
0.6073547452688217,0.37386633455753326
0.5902327001094818,0.3539416044950485
0.5952766090631485,0.3628742843866348
0.5741496384143829,0.33632079511880875
0.5686968863010406,0.3299606069922447
0.5476982146501541,0.3110332563519478
0.5344983637332916,0.3018275275826454
0.5399973392486572,0.3097347244620323
0.5326361209154129,0.3054725006222725
0.5415017753839493,0.31441058218479156
0.527191773056984,0.2969953194260597
0.5291567891836166,0.29789378494024277
0.5400711596012115,0.30451687425374985
0.5333811193704605,0.29336823523044586
0.5235625654459,0.2783649414777756
0.5088542625308037,0.2621381841599941
0.4918806403875351,0.24153683334589005
0.4709569960832596,0.22103971615433693
0.4743371978402138,0.2238730527460575
0.47285616397857666,0.22454611584544182
0.46936285495758057,0.221732459962368
0.4731602370738983,0.22520606219768524
0.46735239028930664,0.21935611218214035
0.47032662481069565,0.2230120785534382
0.46574752032756805,0.2191048562526703
0.4679718241095543,0.22120894491672516
0.4669695422053337,0.21986033022403717
0.46682197600603104,0.21947195753455162
0.467006154358387,0.21832487732172012
0.4723922237753868,0.22517575323581696
0.46794936805963516,0.2203366421163082
0.4654766097664833,0.218437772244215
0.46496860682964325,0.2180592566728592
0.46885500848293304,0.22097140550613403
0.46605363488197327,0.22027437016367912
