epoch,train_loss,valid_loss
1,0.8986609429121017,0.9252413511276245
2,0.8837391436100006,0.8641973733901978
3,0.895966500043869,0.8529868125915527
4,0.8578699827194214,0.8767737150192261
5,0.8483509719371796,0.8049068450927734
6,0.8430691510438919,0.8373821973800659
7,0.8106641471385956,0.8061202168464661
8,0.7971149235963821,0.7995927333831787
9,0.7890996187925339,0.7801677584648132
10,0.7749734818935394,0.7203110456466675
11,0.7804490327835083,0.7339060306549072
12,0.772895559668541,0.7561023831367493
13,0.7357433140277863,0.7213060259819031
14,0.7125716358423233,0.714081883430481
15,0.7193400263786316,0.7159103751182556
16,0.7219462245702744,0.734377384185791
17,0.7099732905626297,0.6651126146316528
18,0.7093377113342285,0.6566908955574036
19,0.6806277185678482,0.6856165528297424
20,0.6619459986686707,0.7187378406524658
21,0.6624404937028885,0.6745864152908325
22,0.6733805239200592,0.6681646108627319
23,0.6727970540523529,0.6788007616996765
24,0.6626757681369781,0.6594380140304565
25,0.6582798510789871,0.657889723777771
26,0.65433569252491,0.6423521637916565
27,0.6333961933851242,0.6409376859664917
28,0.657587543129921,0.6467996835708618
29,0.630632296204567,0.6138998866081238
30,0.6273932605981827,0.6173292398452759
31,0.6230489909648895,0.6329582929611206
32,0.6183387488126755,0.616951584815979
33,0.6366690695285797,0.6438552141189575
34,0.6221913248300552,0.6100617051124573
35,0.6311222165822983,0.6127395033836365
36,0.6043786406517029,0.6125554442405701
37,0.6341814398765564,0.5936654210090637
38,0.6190764456987381,0.5946210622787476
39,0.5922603160142899,0.5730071663856506
40,0.6050484776496887,0.6152335405349731
41,0.5791014432907104,0.6111254692077637
42,0.5996645987033844,0.5679758787155151
43,0.6106247007846832,0.584111750125885
44,0.6046820282936096,0.6315483450889587
45,0.5924550294876099,0.6082350611686707
46,0.5904092192649841,0.5928502082824707
47,0.5948579609394073,0.5849071145057678
48,0.5971183031797409,0.5647187829017639
49,0.6014849841594696,0.6193230152130127
50,0.58388352394104,0.553697407245636
51,0.5714254230260849,0.5623384714126587
52,0.5724926441907883,0.5188919305801392
53,0.55411297082901,0.5858713388442993
54,0.5690370947122574,0.6082461476325989
55,0.5943488925695419,0.5860787630081177
56,0.5857399553060532,0.5699397921562195
57,0.5730122923851013,0.574438214302063
58,0.5699425488710403,0.5917351841926575
59,0.5784884989261627,0.5764217972755432
60,0.5554269999265671,0.5828342437744141
61,0.555017963051796,0.5637434720993042
62,0.5647002756595612,0.5789519548416138
63,0.5634391456842422,0.5774129629135132
64,0.5764380544424057,0.5883513689041138
65,0.5671911239624023,0.5626847743988037
66,0.5635446161031723,0.5596911907196045
67,0.5675229877233505,0.5751327872276306
68,0.5553596764802933,0.5652381181716919
69,0.5709094852209091,0.5421286821365356
70,0.548491582274437,0.5285948514938354
